round,width,phase,iterations,wall_ms,cpu_ms
0,1,poh_slice,10,119.699033,119.572800
0,1,poh_prepared,10,119.364279,119.248100
0,1,sanitize_per_entry,10,1.169375,1.167900
0,1,signatures_per_entry,10,65.566604,65.505300
0,1,sanitize_batch,10,1.184687,1.191900
0,1,signatures_batch,10,65.802962,65.668400
0,1,full_batch,10,186.419442,186.226100
0,2,poh_slice,10,60.006996,119.530400
0,2,poh_prepared,10,59.926304,119.475800
0,2,sanitize_per_entry,10,1.175046,1.174400
0,2,signatures_per_entry,10,32.948117,65.754000
0,2,sanitize_batch,10,0.803142,1.380000
0,2,signatures_batch,10,33.068625,65.880800
0,2,full_batch,10,94.137492,187.134200
0,4,poh_slice,10,30.253633,120.314700
0,4,poh_prepared,10,30.266329,120.398500
0,4,sanitize_per_entry,10,1.159771,1.159100
0,4,signatures_per_entry,10,16.851367,67.180200
0,4,sanitize_batch,10,0.540867,1.397400
0,4,signatures_batch,10,16.685471,66.175400
0,4,full_batch,10,47.859200,188.419100
1,2,poh_slice,10,60.138233,119.749800
1,2,poh_prepared,10,60.056371,119.627900
1,2,sanitize_per_entry,10,1.158167,1.157200
1,2,signatures_per_entry,10,32.983108,65.788700
1,2,sanitize_batch,10,0.745213,1.237400
1,2,signatures_batch,10,33.146062,65.953600
1,2,full_batch,10,94.160546,187.075100
1,4,poh_slice,10,30.392596,120.352200
1,4,poh_prepared,10,30.242525,120.364300
1,4,sanitize_per_entry,10,1.136437,1.136000
1,4,signatures_per_entry,10,16.989367,67.724100
1,4,sanitize_batch,10,0.520104,1.328600
1,4,signatures_batch,10,16.636167,66.226600
1,4,full_batch,10,47.640142,188.290400
1,1,poh_slice,10,119.866079,119.713300
1,1,poh_prepared,10,119.412312,119.273300
1,1,sanitize_per_entry,10,1.098796,1.099100
1,1,signatures_per_entry,10,65.893033,65.809800
1,1,sanitize_batch,10,1.155725,1.162700
1,1,signatures_batch,10,65.622817,65.554800
1,1,full_batch,10,186.666975,186.410500
2,4,poh_slice,10,30.720771,121.141100
2,4,poh_prepared,10,30.417292,120.624600
2,4,sanitize_per_entry,10,1.143292,1.142600
2,4,signatures_per_entry,10,16.974467,67.584300
2,4,sanitize_batch,10,0.516804,1.370000
2,4,signatures_batch,10,16.723463,66.380400
2,4,full_batch,10,47.926883,188.786200
2,1,poh_slice,10,119.367417,119.248200
2,1,poh_prepared,10,119.561225,119.332200
2,1,sanitize_per_entry,10,1.157017,1.155300
2,1,signatures_per_entry,10,65.761871,65.677800
2,1,sanitize_batch,10,1.209313,1.215300
2,1,signatures_batch,10,65.561100,65.500800
2,1,full_batch,10,186.328088,186.177700
2,2,poh_slice,10,60.324275,119.890900
2,2,poh_prepared,10,60.580933,120.383100
2,2,sanitize_per_entry,10,1.154371,1.153200
2,2,signatures_per_entry,10,33.081075,65.987400
2,2,sanitize_batch,10,0.750250,1.248400
2,2,signatures_batch,10,33.108104,65.960700
2,2,full_batch,10,94.041213,186.809400
